# col1  newnz                 frac               frac_hip           
  1.385 6.243495668930375E-4  0.8513752585286032 0.14862474147139682
  1.395 6.163091677992595E-4  0.8569260900572353 0.1430739099427647 
  1.405 6.046758250754658E-4  0.8580485883530481 0.1419514116469519 
  1.415 5.895209599359684E-4  0.866028623481589  0.13397137651841096
  1.425 5.786171636365937E-4  0.8660742140838336 0.13392578591616644
  1.435 5.668575972252034E-4  0.864842036072283  0.13515796392771695
  1.445 5.464787983263787E-4  0.8746000480129126 0.12539995198708742
  1.455 5.380342194596904E-4  0.8733926207148262 0.12660737928517385
  1.465 5.259898068116784E-4  0.8727535642832507 0.12724643571674932
  1.475 5.132318778644373E-4  0.8737408693610289 0.1262591306389711 
  1.485 5.011476199326886E-4  0.8774414762830264 0.12255852371697362
  1.495 4.931709806817525E-4  0.8796332562590781 0.12036674374092193
  1.505 4.800964172900586E-4  0.8843241131402632 0.11567588685973684
  1.515 4.675355078194853E-4  0.8846151936043593 0.11538480639564075
  1.525 4.5554315633060405E-4 0.8842058660982837 0.11579413390171633
  1.535 4.4571911844118077E-4 0.8871864631047145 0.1128135368952855 
  1.545 4.3948560800317557E-4 0.8871776787532251 0.11282232124677494
  1.555 4.353648779724182E-4  0.8826382429607122 0.11736175703928775
  1.565 4.210962323174081E-4  0.8875628544999199 0.1124371455000801 
  1.575 4.226800803244337E-4  0.8847150935223633 0.11528490647763667
  1.585 4.204661642851187E-4  0.8962694297786475 0.10373057022135246
  1.595 4.265308394846288E-4  0.8872019099944938 0.11279809000550622
